"K","P","pH","logk","logp"
1.12,4.4,1,0.1133286853070033,1.481604540924216
1.38,4.4,2,0.3220834991691134,1.481604540924216
1.62,12.6,1,0.4824261492442928,2.533696813957432
2.46,91.2,1,0.9001613499442714,4.513054897080286
2.46,87.09999999999999,1,0.9001613499442714,4.467056883858457
3.24,87.09999999999999,2,1.175573329804238,4.467056883858457
3.63,199.5,1,1.289232648276759,5.295814236329918
4.9,199.5,2,1.589235205116581,5.295814236329918
2.57,91.2,1,0.9439058989071284,4.513054897080286
3.39,91.2,2,1.220829921392359,4.513054897080286
5.89,288.4,1,1.773255997663495,5.664348405410794
7.41,288.4,2,2.002830439307996,5.664348405410794
1.62,28.8,1,0.4824261492442928,3.3603753871419
2.04,28.8,2,0.7129498078561251,3.3603753871419
8.130000000000001,1585,1,2.095560923559719,7.368339686311381
10.72,1585,2,2.372111155642656,7.368339686311381
6.76,1096,1,1.911022890054873,6.999422467507961
3.16,91.2,2,1.150572027598821,4.513054897080286
