"hlen","fcirc","bcirc","bskin","grip"
18,24,27,4,39
21.29999923706055,29,32,5.5,65.5
19.70000076293945,25,27,4.5,41.5
19.5,24,24,6,37
18.5,22,23,4,35
19.5,28,30,7,48.5
19.5,25,26,4,50
19.70000076293945,26,26,5,46
20.10000038146973,27,27,10,30.5
21,26,29.5,3,54.5
18.5,28.5,31,12,52.5
22.29999923706055,27,27.5,3,62
19.20000076293945,26,27,3,42.5
19.20000076293945,24,24,4,47.5
19.20000076293945,22.5,22.5,4,41
21.20000076293945,26,26,3,50
20.20000076293945,24,26,4,33.5
17.70000076293945,22.5,24,12,36.5
21.10000038146973,28,32,8,48.5
18.20000076293945,28.5,29.5,3.5,57
20,23.5,23.5,7,29
20,27,27,11,54.5
19.5,23,22,8,35.5
20,26,27,9,47.5
18,25,26.5,8.5,44.5
20,24,23.5,4,44
18.29999923706055,25,25,5,40
17.5,23,22,7,31
19.79999923706055,27,26,6.5,42.5
19.39999961853027,25,25.70000076293945,3,49.5
18.20000076293945,24.79999923706055,26,6,38
19.39999961853027,25.70000076293945,25.5,5,52
19.79999923706055,24,23.39999961853027,3.200000047683716,50
19,22.29999923706055,23.60000038146973,5,39.5
21.20000076293945,23.60000038146973,23.79999923706055,4.5,44
19,25.60000038146973,26.5,13,47
19.10000038146973,26,26.29999923706055,5.5,41
19.10000038146973,26.70000076293945,28.20000076293945,6.5,42
19.10000038146973,25.29999923706055,26,5,46
18,26,28,5.5,52
19.5,26.20000076293945,25.60000038146973,5.5,44
18.70000076293945,22.89999961853027,25.29999923706055,7.5,46
19.79999923706055,28.70000076293945,28.79999923706055,5,53
20.29999923706055,27,27,9,61
19.20000076293945,27.70000076293945,29.39999961853027,9,61
21.39999961853027,25.39999961853027,28.20000076293945,4.300000190734863,43.5
21.60000038146973,27.79999923706055,28.29999923706055,12.80000019073486,57
22,24.79999923706055,27.39999961853027,4.800000190734863,49
20.70000076293945,22.5,24.10000038146973,5.199999809265137,36
20.39999961853027,23.39999961853027,24.10000038146973,5.400000095367432,27.5
21,25.5,27.20000076293945,6.199999809265137,42
21,23.79999923706055,23.5,9.100000381469727,39.5
20.10000038146973,23.5,24.5,6.400000095367432,38.5
20.70000076293945,26.10000038146973,25.5,11.19999980926514,46.5
20.29999923706055,25.79999923706055,25.20000076293945,3.900000095367432,49.5
20.29999923706055,24.39999961853027,26.29999923706055,6,36.5
21.29999923706055,27.39999961853027,27.60000038146973,5,48
19,24.10000038146973,25.79999923706055,3.099999904632568,40.5
20.60000038146973,25.20000076293945,26.20000076293945,4.099999904632568,40
20.10000038146973,24.89999961853027,23.70000076293945,4.800000190734863,40
21.5,24.79999923706055,25.10000038146973,3.599999904632568,46.5
20.79999923706055,27.60000038146973,31.20000076293945,11.39999961853027,52.5
19.5,25,26.5,3.200000047683716,35
18.70000076293945,23.5,25.5,3.200000047683716,40
19.79999923706055,25.5,26,6.199999809265137,53
19.20000076293945,25.5,27,3.599999904632568,42
20,21,21.5,3,36
22.29999923706055,25,25,6,40
21,26.5,29,3.200000047683716,57
19.20000076293945,23,24.5,4.800000190734863,35
20,25,26,6.5,47
19.20000076293945,27,27,4,40
20.5,26,25.5,3.5,50
18.5,26,25,5.199999809265137,55
19.70000076293945,27,28,4,64.5
18.20000076293945,26,28,4,44.5
18.60000038146973,26,27,10.5,39
18.10000038146973,27,27,7,40.5
17.29999923706055,27,27,10.80000019073486,46.5
19,24,23,3.400000095367432,38.5
21.29999923706055,28,28,5.400000095367432,61.5
19.5,26,28,4.800000190734863,54
18.5,27,28,4.599999904632568,43.5
17.5,28,28,10.80000019073486,26.5
20.5,26.5,26.5,6.800000190734863,40.5
19.89999961853027,29.5,28.5,4.599999904632568,54
19.20000076293945,30,30,11.19999980926514,60.59999847412109
