"Lewis","weight","sex"
784,56,2
901.5999755859375,65,2
744.7999877929688,64.5,2
666.4000244140625,58.40000152587891,2
1078,65,1
1176,73.69999694824219,1
666.4000244140625,46.90000152587891,2
956,68.25,1
1019.200012207031,64.5,1
823.2000122070313,63.20000076293945,2
637,55.5,2
1166.199951171875,72.5,1
833,62.5,2
686,46.70000076293945,2
656.5999755859375,54.04999923706055,2
950.5999755859375,58.79999923706055,2
645,55.5,2
1137,67,1
1250,81,1
1254.400024414063,76.5,1
1274,74.75,1
1352.400024414063,84.75,1
1225,74.65000152587891,1
1058.400024414063,60.70000076293945,1
1058.400024414063,61.25,1
891.7999877929688,55.79999923706055,1
1215.400024414063,74.5,1
1254.400024414063,76.30000305175781,1
901.5999755859375,65.40000152587891,1
1177.22998046875,71,1
746.780029296875,54,2
1011.429992675781,61,1
972.02001953125,64.5,2
1264.869995117188,78,1
694.22998046875,48,2
784.8099975585938,56.75,2
1172.420043945313,74,1
696.739990234375,57,2
