"RunTime","RunPulse","MaxPulse","Oxygen"
11.37,178,182,44.609
8.65,156,168,54.297
9.22,178,180,49.874
11.95,176,180,45.681
13.08,174,176,39.442
10.13,168,168,50.541
11.12,176,176,44.754
10.33,166,170,51.855
10.95,168,172,40.836
10.25,162,164,46.774
12.63,174,176,39.407
9.63,164,166,45.441
11.08,172,172,45.118
10.47,186,188,45.79
9.4,186,188,48.673
10.5,170,172,47.467
10.07,185,185,45.313
8.17,166,172,59.571
11.63,176,176,44.811
10.85,162,170,49.091
8.63,170,186,60.055
14.03,186,192,37.388
10.6,162,164,47.273
8.95,180,185,49.156
10,162,168,46.672
10.08,168,168,50.388
11.17,156,165,46.08
8.92,146,155,54.625
12.88,168,172,39.203
9.93,148,155,50.545
11.5,170,176,47.92
